#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h38 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modÃ©rÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORRRA : cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     NORSTM0 : somme de tempÃ©rature base 0Â°C d'octobre (annÃ©e-1) Ã  juillet (annÃ©e) (Â°C)
#     NORSDA : nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     NORDATEVEG : date de reprise de vÃ©gÃ©tation en jour julien (date)
#     NORDATEDG : Date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     NORDATEPG : Date de premiÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     ARRA : Ecart de cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     ASDA : Ecart de nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     ADATEVEG : Ecart de date de reprise de vÃ©gÃ©tation en jour julien (date)
#     ADATEDG : Ecart de date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;ARRA;ASDA;ADATEVEG;ADATEDG;
#-----------------------------------------------------------------------------
282;41.4087;9.1577;RCP4.5;H1;357.12;4620.71;25.93;21;240;193;-18.1;8.1;-4;-10;
423;41.4925;8.9759;RCP4.5;H1;356.77;4632.6;27.5;21;236;192;-15.34;9.13;-4;-13;
424;41.4864;9.071;RCP4.5;H1;353.06;4661.95;28.07;21;236;192;-15.25;9.07;-3;-13;
425;41.4802;9.166;RCP4.5;H1;368.98;4533.43;23.67;22;239;192;-18.05;7.64;-4;-10;
426;41.4739;9.261;RCP4.5;H1;351.8;4661.5;27.03;21;240;193;-18.12;8.03;-3;-11;
564;41.5759;8.7935;RCP4.5;H1;371.13;4571.75;20.13;21;226;196;-19.81;7.2;-3;5;
565;41.57;8.8888;RCP4.5;H1;389.29;4463.17;17.77;22;226;197;-20.44;6.67;-3;6;
566;41.564;8.984;RCP4.5;H1;403.78;4381.26;16.4;23;224;197;-20.93;6.07;-4;2;
567;41.5579;9.0791;RCP4.5;H1;507.72;4029.5;13.9;28;232;198;-27.66;5.6;-4;-1;
568;41.5517;9.1743;RCP4.5;H1;372.2;4509.51;23.13;22;238;192;-18.06;7.66;-4;-11;
569;41.5454;9.2694;RCP4.5;H1;353.78;4646.4;26.53;21;240;195;-18.12;7.93;-4;-11;
707;41.6474;8.8014;RCP4.5;H1;380.17;4584.76;21.4;21;227;201;0.8;7.13;-3;9;
708;41.6415;8.8967;RCP4.5;H1;395.99;4425.17;18.13;23;224;198;-12.71;7;-3;1;
709;41.6355;8.992;RCP4.5;H1;405.46;4371.82;17.43;23;225;197;-12.87;6.56;-4;2;
710;41.6294;9.0873;RCP4.5;H1;498.19;4102.04;16.03;27;233;195;-25.42;6.9;-4;1;
711;41.6232;9.1826;RCP4.5;H1;501.5;4080.41;15.7;28;233;195;-25.44;6.8;-4;1;
712;41.6169;9.2779;RCP4.5;H1;397.46;4717.35;27.17;21;235;196;-10.18;7.5;-3;-1;
849;41.7248;8.7138;RCP4.5;H1;378.79;4593.21;21.67;21;227;201;0.83;7.24;-3;7;
850;41.719;8.8093;RCP4.5;H1;379.65;4587.89;21.57;21;228;201;0.82;7.24;-3;8;
851;41.713;8.9047;RCP4.5;H1;421.04;4349.58;16.8;23;225;201;0.61;5.7;-4;3;
852;41.707;9.0001;RCP4.5;H1;473.19;4254.2;18.73;25;226;194;-6.96;6.76;-4;-4;
853;41.7009;9.0955;RCP4.5;H1;497.28;4108.48;16.07;27;232;192;-25.01;6.7;-4;0;
854;41.6946;9.1909;RCP4.5;H1;544.4;3669.31;9.13;34;242;184;-28.63;4.76;-6;-1;
855;41.6884;9.2863;RCP4.5;H1;433.09;4366.1;20.1;24;236;202;-24.4;7.47;-4;9;
856;41.682;9.3817;RCP4.5;H1;380.05;4773.05;27.93;20;242;209;-20.7;7.86;-3;10;
993;41.7905;8.8171;RCP4.5;H1;434.5;4254.06;15.63;24;223;201;0.58;5.56;-5;0;
994;41.7845;8.9127;RCP4.5;H1;458.32;4436.77;21.27;23;223;198;-5.36;7.4;-4;4;
995;41.7785;9.0083;RCP4.5;H1;543.51;3655.87;8.83;34;238;186;-10.68;4.46;-6;-9;
996;41.7724;9.1038;RCP4.5;H1;649.36;3496.01;7.73;38;248;181;-14.52;4.63;-7;-4;
997;41.7661;9.1993;RCP4.5;H1;658.21;3415.62;6.63;40;250;175;-15.02;3.93;-7;-6;
998;41.7598;9.2948;RCP4.5;H1;564.6;4026.04;14.9;28;236;192;-38.48;6.5;-5;3;
1136;41.862;8.8251;RCP4.5;H1;415.73;4383.82;18;23;226;201;9.54;6.63;-4;-1;
1137;41.856;8.9207;RCP4.5;H1;513.5;4068.12;16;28;227;194;3.17;6.7;-4;-2;
1138;41.85;9.0164;RCP4.5;H1;490.42;4147.62;17.23;27;227;197;-0.1;6.56;-4;-3;
1139;41.8439;9.112;RCP4.5;H1;711.87;2946.42;2.27;55;255;168;-9.86;1.67;-11;-12;
1140;41.8376;9.2077;RCP4.5;H1;746.17;2488.29;0.37;73;270;152;-14.57;0.34;-14;-7;
1141;41.8313;9.3033;RCP4.5;H1;462.97;4159.84;15.4;27;233;196;-16.5;6.3;-4;10;
1277;41.9452;8.6413;RCP4.5;H1;414.98;4465.99;17.57;22;227;201;15.52;6.54;-3;6;
1278;41.9394;8.7372;RCP4.5;H1;412.42;4480.06;17.77;22;227;201;15.51;6.47;-3;6;
1279;41.9335;8.833;RCP4.5;H1;398.91;4502.37;20.23;22;229;206;13.32;6.8;-3;8;
1280;41.9276;8.9288;RCP4.5;H1;445.11;4106.37;14.53;26;228;197;5.5;6.2;-5;-7;
1281;41.9215;9.0246;RCP4.5;H1;574.81;3359.92;5.83;41;250;169;-1.86;3.66;-7;-12;
1282;41.9154;9.1203;RCP4.5;H1;646.83;3596.7;9.07;37;242;186;-3.98;4.87;-7;-2;
1283;41.9091;9.216;RCP4.5;H1;580.92;2765.14;1.3;60;262;158;0.2;0.97;-12;-8;
1284;41.9028;9.3118;RCP4.5;H1;473.59;4144.82;15.43;27;232;192;-21.2;6.36;-4;2;
1421;42.011;8.745;RCP4.5;H1;430.75;4381.47;16.2;23;227;203;15.9;5.77;-4;6;
1422;42.0051;8.8409;RCP4.5;H1;428.24;4336.09;18.1;24;225;197;13.28;6.7;-4;0;
1423;41.9991;8.9368;RCP4.5;H1;537.05;3773.83;11.03;32;236;193;-2.01;4.9;-6;-4;
1424;41.993;9.0327;RCP4.5;H1;575.41;3376.67;5.47;41;250;174;-2.67;3;-6;-8;
1425;41.9869;9.1286;RCP4.5;H1;738.62;2675.35;0.83;66;268;162;-7.78;0.7;-10;-5;
1426;41.9806;9.2245;RCP4.5;H1;574.97;2865.11;1.77;56;260;158;2.22;1.17;-11;-12;
