#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h34 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non rÃ©duites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORRRA : cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     NORSTM0 : somme de tempÃ©rature base 0Â°C d'octobre (annÃ©e-1) Ã  juillet (annÃ©e) (Â°C)
#     NORSDA : nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     NORDATEVEG : date de reprise de vÃ©gÃ©tation en jour julien (date)
#     NORDATEDG : Date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     NORDATEPG : Date de premiÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     ARRA : Ecart de cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     ASDA : Ecart de nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     ADATEVEG : Ecart de date de reprise de vÃ©gÃ©tation en jour julien (date)
#     ADATEDG : Ecart de date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;ARRA;ASDA;ADATEVEG;ADATEDG;
#-----------------------------------------------------------------------------
282;41.4087;9.1577;RCP8.5;H1;402.07;4694.09;26.93;21;237;189;26.85;9.1;-4;-13;
423;41.4925;8.9759;RCP8.5;H1;393.9;4713.77;27.3;21;238;189;21.79;8.93;-4;-11;
424;41.4864;9.071;RCP8.5;H1;389.96;4743.03;28;21;238;189;21.65;9;-3;-11;
425;41.4802;9.166;RCP8.5;H1;414.3;4607.51;24.8;22;237;191;27.27;8.77;-4;-12;
426;41.4739;9.261;RCP8.5;H1;396.6;4734.88;27.9;21;237;190;26.68;8.9;-3;-14;
564;41.5759;8.7935;RCP8.5;H1;415.48;4638.47;19.9;21;215;198;24.54;6.97;-3;-6;
565;41.57;8.8888;RCP8.5;H1;435.23;4533.19;17.03;22;217;198;25.5;5.93;-3;-3;
566;41.564;8.984;RCP8.5;H1;451.07;4454.13;16.4;23;222;198;26.36;6.07;-4;0;
567;41.5579;9.0791;RCP8.5;H1;559.89;4115.73;14.07;27;224;187;24.51;5.77;-5;-9;
568;41.5517;9.1743;RCP8.5;H1;417.64;4584.02;24.27;23;234;190;27.38;8.8;-3;-15;
569;41.5454;9.2694;RCP8.5;H1;398.63;4719.67;27.47;21;237;190;26.73;8.87;-4;-14;
707;41.6474;8.8014;RCP8.5;H1;422.74;4640.96;20.8;21;213;196;43.37;6.53;-3;-5;
708;41.6415;8.8967;RCP8.5;H1;441.53;4491.36;17.43;23;222;201;32.83;6.3;-3;-1;
709;41.6355;8.992;RCP8.5;H1;451.97;4439.73;17;23;223;198;33.64;6.13;-4;0;
710;41.6294;9.0873;RCP8.5;H1;569.98;4175.26;15.2;27;228;191;46.37;6.07;-4;-4;
711;41.6232;9.1826;RCP8.5;H1;573.74;4154.03;14.8;27;228;191;46.8;5.9;-5;-4;
712;41.6169;9.2779;RCP8.5;H1;454.55;4784.18;28.4;21;219;199;46.91;8.73;-3;-17;
849;41.7248;8.7138;RCP8.5;H1;421.21;4649.29;21.07;21;213;196;43.25;6.64;-3;-7;
850;41.719;8.8093;RCP8.5;H1;422.16;4644.03;20.9;21;213;196;43.33;6.57;-3;-7;
851;41.713;8.9047;RCP8.5;H1;468.23;4413.12;17.07;24;217;193;47.8;5.97;-3;-5;
852;41.707;9.0001;RCP8.5;H1;523.32;4320.17;18.43;25;222;194;43.17;6.46;-4;-8;
853;41.7009;9.0955;RCP8.5;H1;568.54;4181.63;15.27;27;226;191;46.25;5.9;-4;-6;
854;41.6946;9.1909;RCP8.5;H1;620.69;3745.42;8.63;33;240;185;47.66;4.26;-7;-3;
855;41.6884;9.2863;RCP8.5;H1;504.28;4435.07;20.53;24;228;206;46.79;7.9;-4;1;
