#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h46 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : FEU_METEO2022
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maÃ®trisÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM40 : Indicateur feux de forÃªt nbj sup Ã  40 (jour)
#     NORIFMxAV : IFMx moyen
#     NORIFMx50 : Danger Feu MÃ©tÃ©o vÃ©gÃ©tation vivante ElevÃ© (jour)
#     AIFM40 : Ecart de indicateur feux de forÃªt nbj sup Ã  40 (jour)
#     AIFMxAV : Ecart de ifmx moyen
#     AIFMx50 : Ecart de danger feu mÃ©tÃ©o vÃ©gÃ©tation vivante elevÃ© (jour)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORIFM40;NORIFMxAV;NORIFMx50;AIFM40;AIFMxAV;AIFMx50;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;RCP2.6;H1;48;16.93;29;8;1.35;7;
281;41.4149;9.0628;RCP2.6;H1;46;16.93;29;6;1.39;8;
282;41.4087;9.1577;RCP2.6;H1;50;15.84;25;14;1.42;8;
283;41.4025;9.2527;RCP2.6;H1;45;16.8;28;5;1.35;7;
422;41.4985;8.8808;RCP2.6;H1;46;16.69;28;7;1.4;8;
423;41.4925;8.9759;RCP2.6;H1;49;15.98;26;13;1.44;8;
424;41.4864;9.071;RCP2.6;H1;46;16.3;27;8;1.43;8;
425;41.4802;9.166;RCP2.6;H1;47;14.96;22;15;1.48;8;
426;41.4739;9.261;RCP2.6;H1;42;16.28;26;3;1.4;8;
564;41.5759;8.7935;RCP2.6;H1;17;10.98;3;7;0.98;1;
565;41.57;8.8888;RCP2.6;H1;16;10.71;3;6;1.14;1;
566;41.564;8.984;RCP2.6;H1;17;10.59;4;6;1.3;1;
567;41.5579;9.0791;RCP2.6;H1;18;9.27;4;9;1.71;2;
568;41.5517;9.1743;RCP2.6;H1;17;14.73;22;-14;1.49;8;
569;41.5454;9.2694;RCP2.6;H1;40;16.11;26;3;1.4;8;
707;41.6474;8.8014;RCP2.6;H1;15;11.1;4;5;1.12;2;
708;41.6415;8.8967;RCP2.6;H1;17;10.84;5;6;1.43;2;
709;41.6355;8.992;RCP2.6;H1;20;10.77;6;8;1.53;3;
710;41.6294;9.0873;RCP2.6;H1;21;9.41;6;11;1.71;4;
711;41.6232;9.1826;RCP2.6;H1;18;9.4;6;8;1.72;4;
712;41.6169;9.2779;RCP2.6;H1;18;11.55;5;8;1.21;3;
849;41.7248;8.7138;RCP2.6;H1;16;11.13;4;5;1.11;2;
850;41.719;8.8093;RCP2.6;H1;17;11.11;4;7;1.12;2;
851;41.713;8.9047;RCP2.6;H1;17;10.63;6;6;1.48;2;
852;41.707;9.0001;RCP2.6;H1;20;9.6;6;11;1.71;4;
853;41.7009;9.0955;RCP2.6;H1;18;9.41;6;9;1.7;4;
854;41.6946;9.1909;RCP2.6;H1;18;9.53;9;7;1.86;5;
855;41.6884;9.2863;RCP2.6;H1;20;10.46;6;10;1.31;3;
856;41.682;9.3817;RCP2.6;H1;18;11.44;5;8;0.95;3;
992;41.7963;8.7216;RCP2.6;H1;7;11.03;4;-3;1.13;2;
993;41.7905;8.8171;RCP2.6;H1;17;10.43;6;6;1.56;3;
994;41.7845;8.9127;RCP2.6;H1;21;9.54;3;13;1.48;2;
995;41.7785;9.0083;RCP2.6;H1;15;9.68;10;4;1.99;6;
996;41.7724;9.1038;RCP2.6;H1;23;8.57;6;15;1.73;4;
997;41.7661;9.1993;RCP2.6;H1;16;8.22;5;9;1.69;3;
998;41.7598;9.2948;RCP2.6;H1;14;8.17;3;8;1.47;2;
999;41.7535;9.3902;RCP2.6;H1;12;11.23;6;2;1.04;3;
1134;41.8737;8.6336;RCP2.6;H1;7;11.14;4;-2;1.06;2;
1135;41.8679;8.7294;RCP2.6;H1;15;11.15;5;4;1.06;2;
1136;41.862;8.8251;RCP2.6;H1;18;10.57;6;6;1.37;2;
1137;41.856;8.9207;RCP2.6;H1;20;9.31;6;10;1.78;3;
1138;41.85;9.0164;RCP2.6;H1;19;9.38;6;10;1.7;4;
1139;41.8439;9.112;RCP2.6;H1;18;6.13;1;16;1.33;1;
1140;41.8376;9.2077;RCP2.6;H1;5;5.48;0;4;1.14;0;
1141;41.8313;9.3033;RCP2.6;H1;3;9.75;5;-5;1.43;3;
1142;41.8249;9.3988;RCP2.6;H1;16;10.24;1;11;0.71;1;
1276;41.9509;8.5455;RCP2.6;H1;7;11.14;4;-1;1.06;2;
1277;41.9452;8.6413;RCP2.6;H1;15;10.66;3;7;1.25;1;
1278;41.9394;8.7372;RCP2.6;H1;16;10.69;3;8;1.23;1;
1279;41.9335;8.833;RCP2.6;H1;16;10.86;6;4;1.27;2;
1280;41.9276;8.9288;RCP2.6;H1;20;10.04;8;9;1.65;5;
1281;41.9215;9.0246;RCP2.6;H1;20;8.96;8;11;1.86;5;
1282;41.9154;9.1203;RCP2.6;H1;19;8.36;5;12;1.62;3;
1283;41.9091;9.216;RCP2.6;H1;15;5.86;0;14;1.17;0;
1284;41.9028;9.3118;RCP2.6;H1;3;9.21;2;-1;1.16;1;
1285;41.8964;9.4075;RCP2.6;H1;9;10.41;1;5;0.65;1;
1420;42.0168;8.649;RCP2.6;H1;7;11.01;3;-2;1.08;1;
1421;42.011;8.745;RCP2.6;H1;15;10.54;4;6;1.42;2;
1422;42.0051;8.8409;RCP2.6;H1;17;10.62;8;5;1.55;3;
1423;41.9991;8.9368;RCP2.6;H1;22;9.4;9;12;1.83;6;
1424;41.993;9.0327;RCP2.6;H1;21;9;9;12;1.86;5;
1425;41.9869;9.1286;RCP2.6;H1;20;5.58;1;19;1.15;0;
1426;41.9806;9.2245;RCP2.6;H1;4;5.9;0;2;1.11;0;
1427;41.9743;9.3203;RCP2.6;H1;3;9.44;2;-2;1.14;1;
1428;41.9679;9.4161;RCP2.6;H1;10;10.46;2;5;0.64;1;
1562;42.0941;8.5607;RCP2.6;H1;7;11.1;5;-3;0.93;2;
1563;42.0883;8.6568;RCP2.6;H1;16;11.07;5;6;0.93;2;
1564;42.0825;8.7528;RCP2.6;H1;15;10.84;5;5;1.26;2;
1565;42.0766;8.8489;RCP2.6;H1;18;9.42;6;9;1.8;3;
1566;42.0706;8.9449;RCP2.6;H1;18;9.33;7;9;1.75;4;
1567;42.0646;9.0409;RCP2.6;H1;19;8.49;7;11;1.85;5;
1568;42.0584;9.1369;RCP2.6;H1;17;5.12;0;16;0.95;0;
1569;42.0522;9.2329;RCP2.6;H1;1;6.66;2;0;1.49;1;
1570;42.0458;9.3288;RCP2.6;H1;6;10.13;2;1;1.11;2;
1571;42.0394;9.4248;RCP2.6;H1;11;10.32;2;7;0.75;1;
1572;42.0329;9.5207;RCP2.6;H1;6;10.4;2;2;0.73;1;
1637;42.3488;1.9977;RCP2.6;H1;8;5.27;0;8;0.53;0;
1638;42.349;2.0945;RCP2.6;H1;0;4.95;0;0;0.45;0;
1641;42.3493;2.385;RCP2.6;H1;0;3.97;0;0;0.65;0;
1642;42.3492;2.4818;RCP2.6;H1;1;4.54;0;0;0.81;0;
1643;42.349;2.5786;RCP2.6;H1;1;4.87;0;1;0.81;0;
1644;42.3488;2.6754;RCP2.6;H1;1;5.74;0;1;0.88;0;
1705;42.1656;8.5683;RCP2.6;H1;2;11;5;-8;0.96;2;
