#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : rÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : RÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORSD : Nombre de journÃ©es d'Ã©tÃ© (jour(s))
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35Â°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#     NORTNFD : Nombre de jours de gel (jour(s))
#     NORTNCWD : Nombre de jours d'une vague de froid (jour(s))
#     NORTXHWD : Nombre de jours d'une vague de chaleur (jour(s))
#     NORRR : Cumul de prÃ©cipitation (mm)
#     NORRR1MM : Nombre de jours de pluie (jour(s))
#     NORPFL90 : Fraction des prÃ©cipitations journaliÃ¨res intenses (%)
#     NORTPSPI : Temps passÃ© en sÃ©cheresse mÃ©tÃ©orologique
#     NORPQ90 : prÃ©cipitations intenses (Q90) (mm)
#     NORPQ99 : prÃ©cipitations extrÃªmes (Q99) (mm)
#     NORFFQ98 : vent fort (Q98) (m/s)
#     NORFF98 : nombre de jours de vent fort (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORTAV;NORSD;NORTX35;NORTR;NORTNFD;NORTNCWD;NORTXHWD;NORRR;NORRR1MM;NORPFL90;NORTPSPI;NORPQ90;NORPQ99;NORFFQ98;NORFF98;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;REF;REF;15.93;101;2.37;34;12;3;2;716.54;83.6;79.86;0.03;5.56;27.79;9.33;7.37;
281;41.4149;9.0628;REF;REF;15.93;100;2.23;33;12;3;2;715.05;83.27;79.84;0.03;5.54;27.3;9.32;7.33;
282;41.4087;9.1577;REF;REF;15.62;94;2.1;32;11;3;3;742.74;85.23;79.71;0.03;5.76;28.79;8.84;7.3;
283;41.4025;9.2527;REF;REF;15.9;100;2.33;33;12;3;2;719.37;83.8;79.85;0.03;5.59;27.89;9.28;7.27;
422;41.4985;8.8808;REF;REF;15.86;99;2.23;33;12;3;2;720.61;83.5;79.82;0.03;5.59;27.51;9.2;7.33;
423;41.4925;8.9759;REF;REF;15.66;95;2.1;32;11;2;2;737.11;84.83;79.74;0.03;5.69;28.18;8.89;7.33;
424;41.4864;9.071;REF;REF;15.75;97;2.17;32;11;2;2;729.43;84.37;79.77;0.03;5.65;27.87;9.03;7.4;
425;41.4802;9.166;REF;REF;15.34;87;2;30;10;2;3;767.18;86.6;79.64;0.03;5.96;29.7;8.42;7.33;
426;41.4739;9.261;REF;REF;15.75;96;2.27;33;11;3;3;731.85;84.57;79.81;0.03;5.69;28.37;9.03;7.33;
564;41.5759;8.7935;REF;REF;15.49;87;0.4;26;4;0;0;749.04;85.83;79.09;0.03;6.15;27.45;5.53;7.33;
565;41.57;8.8888;REF;REF;15.13;76;0.37;25;4;1;1;785.33;86.97;79.01;0.03;6.46;28.77;5.43;7.33;
566;41.564;8.984;REF;REF;14.85;70;0.53;25;5;1;2;814.21;87.8;78.96;0.07;6.69;29.82;5.44;7.33;
567;41.5579;9.0791;REF;REF;13.67;54;1.1;23;8;1;5;1057.2;104.2;74.75;0.07;8.8;36.55;4.66;7.33;
568;41.5517;9.1743;REF;REF;15.26;85;2;30;10;2;3;773.85;87;79.62;0.03;6.02;29.95;8.3;7.3;
569;41.5454;9.2694;REF;REF;15.7;95;2.17;32;11;3;3;735.94;84.8;79.76;0.03;5.71;28.53;8.95;7.23;
707;41.6474;8.8014;REF;REF;15.53;89;0.33;27;4;0;0;733.05;85.6;79.13;0.07;5.95;26.26;5.52;7.33;
708;41.6415;8.8967;REF;REF;14.99;73;0.4;25;5;0;1;796.83;87.5;79.22;0.03;6.52;28.45;5.33;7.33;
709;41.6355;8.992;REF;REF;14.81;70;0.47;25;5;1;2;816.31;87.93;79.17;0.03;6.68;29.12;5.36;7.3;
710;41.6294;9.0873;REF;REF;13.91;58;1.07;24;7;0;7;1043.7;104.13;75.02;0.03;8.69;35.63;4.65;7.3;
711;41.6232;9.1826;REF;REF;13.83;57;1.1;23;7;0;8;1050.45;104.17;75;0.03;8.76;35.86;4.64;7.37;
712;41.6169;9.2779;REF;REF;15.98;97;0.93;40;3;1;1;828.01;92.43;78.38;0.03;5.98;33.31;7.58;7.27;
849;41.7248;8.7138;REF;REF;15.56;90;0.37;27;4;0;0;730.33;85.6;79.14;0.07;5.93;26.17;5.55;7.33;
850;41.719;8.8093;REF;REF;15.54;89;0.33;27;4;0;0;732.05;85.53;79.13;0.07;5.94;26.23;5.53;7.33;
851;41.713;8.9047;REF;REF;14.74;68;0.57;24;5;0;2;813.1;88.27;78.99;0.07;6.63;29.09;5.46;7.3;
852;41.707;9.0001;REF;REF;14.42;66;1.23;25;6;1;5;981.62;102.97;74.92;0.03;8.06;33.51;4.76;7.3;
853;41.7009;9.0955;REF;REF;13.93;58;1.07;24;7;0;7;1041.15;104.27;75.01;0.03;8.68;35.56;4.66;7.33;
