#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h25 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modÃ©rÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
                  (1 - hiver, 2 - printemps, 3 - Ã©tÃ©, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORTXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     ATAV : Ecart de tempÃ©rature moyenne journaliÃ¨re (Â°C)
#     ATXAV : Ecart de tempÃ©rature maximale journaliÃ¨re (Â°C)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;Saison;NORTAV;NORTXAV;ATAV;ATXAV;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;RCP4.5;H1;3;24.69;29.34;0;0;
281;41.4149;9.0628;RCP4.5;H1;3;24.59;29.24;0;0;
282;41.4087;9.1577;RCP4.5;H1;3;24.47;29.01;1.44;1.41;
283;41.4025;9.2527;RCP4.5;H1;3;24.67;29.31;0;0;
422;41.4985;8.8808;RCP4.5;H1;3;24.54;29.17;0;0;
423;41.4925;8.9759;RCP4.5;H1;3;24.39;28.94;1.32;1.29;
424;41.4864;9.071;RCP4.5;H1;3;24.46;29.04;1.32;1.27;
425;41.4802;9.166;RCP4.5;H1;3;24.29;28.72;1.47;1.45;
426;41.4739;9.261;RCP4.5;H1;3;24.56;29.15;1.43;1.39;
564;41.5759;8.7935;RCP4.5;H1;3;23.46;27.38;1.12;1.06;
565;41.57;8.8888;RCP4.5;H1;3;23.32;27.16;1.22;1.15;
566;41.564;8.984;RCP4.5;H1;3;23.24;27.09;1.33;1.26;
567;41.5579;9.0791;RCP4.5;H1;3;22.83;26.48;1.6;1.57;
568;41.5517;9.1743;RCP4.5;H1;3;24.23;28.65;1.47;1.47;
569;41.5454;9.2694;RCP4.5;H1;3;24.53;29.1;1.43;1.4;
707;41.6474;8.8014;RCP4.5;H1;3;23.44;27.41;1.06;1.04;
708;41.6415;8.8967;RCP4.5;H1;3;23.35;27.24;1.33;1.31;
709;41.6355;8.992;RCP4.5;H1;3;23.3;27.2;1.41;1.38;
710;41.6294;9.0873;RCP4.5;H1;3;23.18;26.98;1.73;1.76;
711;41.6232;9.1826;RCP4.5;H1;3;23.13;26.9;1.75;1.77;
712;41.6169;9.2779;RCP4.5;H1;3;24.73;28.97;1.31;1.32;
