#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h24 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non rÃ©duites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
                  (1 - hiver, 2 - printemps, 3 - Ã©tÃ©, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORTXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     ATAV : Ecart de tempÃ©rature moyenne journaliÃ¨re (Â°C)
#     ATXAV : Ecart de tempÃ©rature maximale journaliÃ¨re (Â°C)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;Saison;NORTAV;NORTXAV;ATAV;ATXAV;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;RCP8.5;H1;3;24.91;29.52;0;0;
281;41.4149;9.0628;RCP8.5;H1;3;24.85;29.45;0;0;
282;41.4087;9.1577;RCP8.5;H1;3;24.69;29.2;1.66;1.6;
283;41.4025;9.2527;RCP8.5;H1;3;24.88;29.49;0;0;
422;41.4985;8.8808;RCP8.5;H1;3;24.8;29.38;0;0;
423;41.4925;8.9759;RCP8.5;H1;3;24.66;29.17;1.59;1.52;
424;41.4864;9.071;RCP8.5;H1;3;24.72;29.27;1.58;1.5;
425;41.4802;9.166;RCP8.5;H1;3;24.52;28.93;1.7;1.66;
426;41.4739;9.261;RCP8.5;H1;3;24.78;29.33;1.65;1.57;
564;41.5759;8.7935;RCP8.5;H1;3;23.67;27.53;1.33;1.21;
565;41.57;8.8888;RCP8.5;H1;3;23.56;27.36;1.46;1.35;
566;41.564;8.984;RCP8.5;H1;3;23.51;27.32;1.6;1.49;
567;41.5579;9.0791;RCP8.5;H1;3;23.16;26.8;1.93;1.89;
568;41.5517;9.1743;RCP8.5;H1;3;24.47;28.86;1.71;1.68;
569;41.5454;9.2694;RCP8.5;H1;3;24.75;29.29;1.65;1.59;
707;41.6474;8.8014;RCP8.5;H1;3;23.63;27.56;1.25;1.19;
708;41.6415;8.8967;RCP8.5;H1;3;23.54;27.37;1.52;1.44;
709;41.6355;8.992;RCP8.5;H1;3;23.51;27.35;1.62;1.53;
710;41.6294;9.0873;RCP8.5;H1;3;23.36;27.13;1.91;1.91;
711;41.6232;9.1826;RCP8.5;H1;3;23.31;27.05;1.93;1.92;
712;41.6169;9.2779;RCP8.5;H1;3;24.85;29.07;1.43;1.42;
849;41.7248;8.7138;RCP8.5;H1;3;23.64;27.58;1.24;1.18;
850;41.719;8.8093;RCP8.5;H1;3;23.64;27.57;1.25;1.19;
851;41.713;8.9047;RCP8.5;H1;3;23.41;27.3;1.56;1.52;
852;41.707;9.0001;RCP8.5;H1;3;23.66;27.68;1.76;1.79;
853;41.7009;9.0955;RCP8.5;H1;3;23.37;27.15;1.91;1.9;
854;41.6946;9.1909;RCP8.5;H1;3;22.06;25.18;2;1.95;
855;41.6884;9.2863;RCP8.5;H1;3;24.27;28.23;1.78;1.84;
856;41.682;9.3817;RCP8.5;H1;3;24.95;29.23;1.43;1.43;
992;41.7963;8.7216;RCP8.5;H1;3;23.6;27.52;0;0;
993;41.7905;8.8171;RCP8.5;H1;3;23.21;27.04;1.63;1.61;
994;41.7845;8.9127;RCP8.5;H1;3;24.03;28.17;1.6;1.6;
995;41.7785;9.0083;RCP8.5;H1;3;21.95;25.11;1.92;1.93;
996;41.7724;9.1038;RCP8.5;H1;3;21.47;24.48;1.92;1.9;
997;41.7661;9.1993;RCP8.5;H1;3;21.21;24.11;1.92;1.88;
998;41.7598;9.2948;RCP8.5;H1;3;23.19;27.11;1.88;1.95;
999;41.7535;9.3902;RCP8.5;H1;3;24.81;29.03;0;0;
1134;41.8737;8.6336;RCP8.5;H1;3;23.83;27.75;0;0;
1135;41.8679;8.7294;RCP8.5;H1;3;23.71;27.7;0;0;
1136;41.862;8.8251;RCP8.5;H1;3;23.45;27.34;1.51;1.48;
1137;41.856;8.9207;RCP8.5;H1;3;23.19;26.98;1.81;1.85;
1138;41.85;9.0164;RCP8.5;H1;3;23.41;27.32;1.81;1.87;
1139;41.8439;9.112;RCP8.5;H1;3;19.5;21.88;1.91;1.83;
1140;41.8376;9.2077;RCP8.5;H1;3;17.66;19.69;1.8;1.7;
1141;41.8313;9.3033;RCP8.5;H1;3;23.79;27.4;1.89;1.97;
1142;41.8249;9.3988;RCP8.5;H1;3;24.66;28.32;0;0;
1276;41.9509;8.5455;RCP8.5;H1;3;23.83;27.75;0;0;
1277;41.9452;8.6413;RCP8.5;H1;3;23.64;27.45;1.54;1.43;
1278;41.9394;8.7372;RCP8.5;H1;3;23.65;27.46;1.52;1.41;
1279;41.9335;8.833;RCP8.5;H1;3;23.51;27.39;1.31;1.26;
1280;41.9276;8.9288;RCP8.5;H1;3;22.87;26.56;1.74;1.75;
1281;41.9215;9.0246;RCP8.5;H1;3;21.02;23.82;1.95;1.94;
1282;41.9154;9.1203;RCP8.5;H1;3;21.69;24.81;1.92;1.91;
1283;41.9091;9.216;RCP8.5;H1;3;18.56;21.32;1.76;1.72;
1284;41.9028;9.3118;RCP8.5;H1;3;23.56;27.24;1.72;1.79;
1285;41.8964;9.4075;RCP8.5;H1;3;24.85;28.43;0;0;
1420;42.0168;8.649;RCP8.5;H1;3;23.77;27.67;0;0;
1421;42.011;8.745;RCP8.5;H1;3;23.6;27.41;1.69;1.58;
1422;42.0051;8.8409;RCP8.5;H1;3;23.37;27.27;1.55;1.51;
1423;41.9991;8.9368;RCP8.5;H1;3;22.31;25.64;1.89;1.9;
1424;41.993;9.0327;RCP8.5;H1;3;21.04;23.83;1.93;1.89;
1425;41.9869;9.1286;RCP8.5;H1;3;18.39;20.55;1.83;1.73;
1426;41.9806;9.2245;RCP8.5;H1;3;18.9;21.77;1.76;1.71;
1427;41.9743;9.3203;RCP8.5;H1;3;23.74;27.56;1.69;1.79;
1428;41.9679;9.4161;RCP8.5;H1;3;24.9;28.48;0;0;
1562;42.0941;8.5607;RCP8.5;H1;3;23.75;27.73;0;0;
1563;42.0883;8.6568;RCP8.5;H1;3;23.74;27.71;1.28;1.22;
1564;42.0825;8.7528;RCP8.5;H1;3;23.49;27.38;1.33;1.3;
1565;42.0766;8.8489;RCP8.5;H1;3;23.26;27.11;1.73;1.77;
1566;42.0706;8.9449;RCP8.5;H1;3;23.34;27.17;1.89;1.93;
1567;42.0646;9.0409;RCP8.5;H1;3;21.28;24.26;1.91;1.9;
1568;42.0584;9.1369;RCP8.5;H1;3;16.2;18.31;1.69;1.59;
1569;42.0522;9.2329;RCP8.5;H1;3;19.29;22.36;1.84;1.88;
1570;42.0458;9.3288;RCP8.5;H1;3;24.22;28.19;1.54;1.61;
1571;42.0394;9.4248;RCP8.5;H1;3;25.08;28.61;1.52;1.43;
1572;42.0329;9.5207;RCP8.5;H1;3;25.15;28.66;0;0;
1637;42.3488;1.9977;RCP8.5;H1;3;14.86;17.99;1.78;1.84;
1638;42.349;2.0945;RCP8.5;H1;3;14.11;16.99;0;0;
1641;42.3493;2.385;RCP8.5;H1;3;17.93;21.21;0;0;
1642;42.3492;2.4818;RCP8.5;H1;3;19.2;22.78;1.55;1.7;
1643;42.349;2.5786;RCP8.5;H1;3;19.88;23.55;1.5;1.58;
1644;42.3488;2.6754;RCP8.5;H1;3;21.16;25.01;1.43;1.52;
1705;42.1656;8.5683;RCP8.5;H1;3;23.7;27.65;1.29;1.23;
1706;42.1599;8.6645;RCP8.5;H1;3;23.29;27.13;1.68;1.65;
1707;42.1541;8.7607;RCP8.5;H1;3;23.64;27.61;1.77;1.77;
1708;42.1482;8.8569;RCP8.5;H1;3;22.93;26.63;1.88;1.97;
1709;42.1422;8.953;RCP8.5;H1;3;21.96;25.25;1.88;1.9;
1710;42.1361;9.0491;RCP8.5;H1;3;18.4;21.14;1.73;1.7;
1711;42.1299;9.1452;RCP8.5;H1;3;18.51;21.24;1.77;1.71;
1712;42.1237;9.2413;RCP8.5;H1;3;20.96;24.78;1.89;1.95;
1713;42.1173;9.3374;RCP8.5;H1;3;24;27.98;1.63;1.73;
1714;42.1109;9.4334;RCP8.5;H1;3;24.98;28.55;1.54;1.46;
1715;42.1044;9.5295;RCP8.5;H1;3;25.14;28.65;1.5;1.42;
1779;42.4202;1.9004;RCP8.5;H1;3;19.37;24;0;0;
1780;42.4206;1.9973;RCP8.5;H1;3;17.61;21.69;1.82;1.89;
1781;42.4208;2.0942;RCP8.5;H1;3;12.77;15.15;1.74;1.69;
1782;42.421;2.1912;RCP8.5;H1;3;10.91;12.88;1.5;1.57;
1783;42.4211;2.2881;RCP8.5;H1;3;12.29;14.51;0;0;
1784;42.4211;2.3851;RCP8.5;H1;3;15.11;17.7;1.54;1.65;
1785;42.421;2.482;RCP8.5;H1;3;18.67;22.15;1.39;1.5;
1786;42.4209;2.5789;RCP8.5;H1;3;20.9;24.74;1.32;1.42;
1787;42.4206;2.6759;RCP8.5;H1;3;20.14;23.89;1.35;1.45;
1788;42.4202;2.7728;RCP8.5;H1;3;21.32;25.13;1.45;1.48;
1789;42.4198;2.8697;RCP8.5;H1;3;23.27;27.22;0;0;
1791;42.4186;3.0636;RCP8.5;H1;3;23.15;25.8;0;0;
1792;42.4179;3.1605;RCP8.5;H1;3;23.93;26.32;0;0;
1848;42.2372;8.576;RCP8.5;H1;3;23.62;27.52;0;0;
1849;42.2315;8.6723;RCP8.5;H1;3;22.67;26.25;1.79;1.8;
1850;42.2256;8.7686;RCP8.5;H1;3;22.42;25.87;1.88;1.97;
1851;42.2197;8.8649;RCP8.5;H1;3;20.93;23.75;1.91;1.94;
1852;42.2137;8.9611;RCP8.5;H1;3;17.35;19.76;1.74;1.68;
1853;42.2076;9.0574;RCP8.5;H1;3;15.53;17.53;1.71;1.62;
1854;42.2015;9.1536;RCP8.5;H1;3;20.13;23.47;1.86;1.82;
1855;42.1952;9.2498;RCP8.5;H1;3;22.84;27.33;1.83;2.02;
1856;42.1889;9.346;RCP8.5;H1;3;23.9;27.78;1.69;1.77;
1857;42.1824;9.4421;RCP8.5;H1;3;24.4;27.88;1.43;1.41;
1858;42.1759;9.5383;RCP8.5;H1;3;24.82;27.99;0;0;
1918;42.4897;1.5116;RCP8.5;H1;3;16.13;20.35;1.78;1.86;
1919;42.4905;1.6087;RCP8.5;H1;3;11.65;14.13;1.65;1.65;
1920;42.4911;1.7057;RCP8.5;H1;3;10.97;13.41;1.89;2.05;
1921;42.4916;1.8028;RCP8.5;H1;3;12.55;15.12;1.75;1.83;
1922;42.4921;1.8998;RCP8.5;H1;3;15.08;18.33;1.81;1.95;
1923;42.4924;1.9969;RCP8.5;H1;3;16.38;20.14;1.81;1.96;
1924;42.4927;2.0939;RCP8.5;H1;3;15.2;18.63;1.5;1.65;
1925;42.4929;2.191;RCP8.5;H1;3;14.85;17.77;1.5;1.64;
1926;42.4929;2.2881;RCP8.5;H1;3;14.78;17.59;1.53;1.59;
1927;42.4929;2.3851;RCP8.5;H1;3;15.4;18.49;1.59;1.76;
1928;42.4929;2.4822;RCP8.5;H1;3;13.27;15.47;1.38;1.42;
1929;42.4927;2.5792;RCP8.5;H1;3;19.41;23.01;1.38;1.46;
1930;42.4924;2.6763;RCP8.5;H1;3;22.57;26.64;1.24;1.37;
1931;42.4921;2.7733;RCP8.5;H1;3;23.5;27.43;1.4;1.4;
1932;42.4916;2.8704;RCP8.5;H1;3;22.82;26.72;1.4;1.48;
1933;42.4911;2.9674;RCP8.5;H1;3;21.49;24.14;1.47;1.42;
1934;42.4905;3.0645;RCP8.5;H1;3;23.09;25.74;1.46;1.41;
1935;42.4898;3.1615;RCP8.5;H1;3;24.19;26.57;0;0;
1991;42.3088;8.5836;RCP8.5;H1;3;23.67;27.6;0;0;
1992;42.303;8.6801;RCP8.5;H1;3;23.46;27.3;1.48;1.4;
1993;42.2972;8.7765;RCP8.5;H1;3;20.35;23.85;1.79;1.78;
1994;42.2913;8.8729;RCP8.5;H1;3;17.37;19.8;1.68;1.63;
1995;42.2853;8.9693;RCP8.5;H1;3;17.31;19.69;1.69;1.61;
1996;42.2792;9.0656;RCP8.5;H1;3;17.96;20.5;1.79;1.73;
1997;42.273;9.162;RCP8.5;H1;3;21.6;25.07;1.86;1.88;
1998;42.2667;9.2583;RCP8.5;H1;3;23.02;27.44;1.78;1.89;
