#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h29 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : rÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : RÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
                  (1 - hiver, 2 - printemps, 3 - Ã©tÃ©, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORTXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;Saison;NORTAV;NORTXAV;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;REF;REF;3;23.27;27.98;
281;41.4149;9.0628;REF;REF;3;23.27;27.98;
282;41.4087;9.1577;REF;REF;3;23.03;27.6;
283;41.4025;9.2527;REF;REF;3;23.25;27.95;
422;41.4985;8.8808;REF;REF;3;23.22;27.9;
423;41.4925;8.9759;REF;REF;3;23.07;27.65;
424;41.4864;9.071;REF;REF;3;23.14;27.77;
425;41.4802;9.166;REF;REF;3;22.82;27.27;
426;41.4739;9.261;REF;REF;3;23.13;27.76;
564;41.5759;8.7935;REF;REF;3;22.34;26.32;
565;41.57;8.8888;REF;REF;3;22.1;26.01;
566;41.564;8.984;REF;REF;3;21.91;25.83;
567;41.5579;9.0791;REF;REF;3;21.23;24.91;
568;41.5517;9.1743;REF;REF;3;22.76;27.18;
569;41.5454;9.2694;REF;REF;3;23.1;27.7;
707;41.6474;8.8014;REF;REF;3;22.38;26.37;
708;41.6415;8.8967;REF;REF;3;22.02;25.93;
709;41.6355;8.992;REF;REF;3;21.89;25.82;
710;41.6294;9.0873;REF;REF;3;21.45;25.22;
711;41.6232;9.1826;REF;REF;3;21.38;25.13;
712;41.6169;9.2779;REF;REF;3;23.42;27.65;
849;41.7248;8.7138;REF;REF;3;22.4;26.4;
850;41.719;8.8093;REF;REF;3;22.39;26.38;
851;41.713;8.9047;REF;REF;3;21.85;25.78;
852;41.707;9.0001;REF;REF;3;21.9;25.89;
853;41.7009;9.0955;REF;REF;3;21.46;25.25;
854;41.6946;9.1909;REF;REF;3;20.06;23.23;
855;41.6884;9.2863;REF;REF;3;22.49;26.39;
856;41.682;9.3817;REF;REF;3;23.52;27.8;
992;41.7963;8.7216;REF;REF;3;22.34;26.31;
993;41.7905;8.8171;REF;REF;3;21.58;25.43;
994;41.7845;8.9127;REF;REF;3;22.43;26.57;
995;41.7785;9.0083;REF;REF;3;20.03;23.18;
996;41.7724;9.1038;REF;REF;3;19.55;22.58;
997;41.7661;9.1993;REF;REF;3;19.29;22.23;
998;41.7598;9.2948;REF;REF;3;21.31;25.16;
999;41.7535;9.3902;REF;REF;3;23.32;27.52;
1134;41.8737;8.6336;REF;REF;3;22.46;26.5;
1135;41.8679;8.7294;REF;REF;3;22.47;26.52;
1136;41.862;8.8251;REF;REF;3;21.94;25.86;
1137;41.856;8.9207;REF;REF;3;21.38;25.13;
1138;41.85;9.0164;REF;REF;3;21.6;25.45;
1139;41.8439;9.112;REF;REF;3;17.59;20.05;
1140;41.8376;9.2077;REF;REF;3;15.86;17.99;
1141;41.8313;9.3033;REF;REF;3;21.9;25.43;
1142;41.8249;9.3988;REF;REF;3;23.35;27.03;
1276;41.9509;8.5455;REF;REF;3;22.46;26.5;
1277;41.9452;8.6413;REF;REF;3;22.1;26.02;
1278;41.9394;8.7372;REF;REF;3;22.13;26.05;
1279;41.9335;8.833;REF;REF;3;22.2;26.13;
1280;41.9276;8.9288;REF;REF;3;21.13;24.81;
1281;41.9215;9.0246;REF;REF;3;19.07;21.88;
1282;41.9154;9.1203;REF;REF;3;19.77;22.9;
1283;41.9091;9.216;REF;REF;3;16.8;19.6;
1284;41.9028;9.3118;REF;REF;3;21.84;25.45;
1285;41.8964;9.4075;REF;REF;3;23.59;27.2;
1420;42.0168;8.649;REF;REF;3;22.39;26.39;
1421;42.011;8.745;REF;REF;3;21.91;25.83;
1422;42.0051;8.8409;REF;REF;3;21.82;25.76;
1423;41.9991;8.9368;REF;REF;3;20.42;23.74;
1424;41.993;9.0327;REF;REF;3;19.11;21.94;
1425;41.9869;9.1286;REF;REF;3;16.56;18.82;
1426;41.9806;9.2245;REF;REF;3;17.14;20.06;
1427;41.9743;9.3203;REF;REF;3;22.05;25.77;
1428;41.9679;9.4161;REF;REF;3;23.63;27.23;
1562;42.0941;8.5607;REF;REF;3;22.47;26.51;
1563;42.0883;8.6568;REF;REF;3;22.46;26.49;
1564;42.0825;8.7528;REF;REF;3;22.16;26.08;
1565;42.0766;8.8489;REF;REF;3;21.53;25.34;
1566;42.0706;8.9449;REF;REF;3;21.45;25.24;
1567;42.0646;9.0409;REF;REF;3;19.37;22.36;
1568;42.0584;9.1369;REF;REF;3;14.51;16.72;
1569;42.0522;9.2329;REF;REF;3;17.45;20.48;
1570;42.0458;9.3288;REF;REF;3;22.68;26.58;
1571;42.0394;9.4248;REF;REF;3;23.56;27.18;
1572;42.0329;9.5207;REF;REF;3;23.65;27.24;
1637;42.3488;1.9977;REF;REF;3;13.08;16.15;
1638;42.349;2.0945;REF;REF;3;12.36;15.2;
1641;42.3493;2.385;REF;REF;3;16.29;19.42;
1642;42.3492;2.4818;REF;REF;3;17.65;21.08;
1643;42.349;2.5786;REF;REF;3;18.38;21.97;
1644;42.3488;2.6754;REF;REF;3;19.73;23.49;
1705;42.1656;8.5683;REF;REF;3;22.41;26.42;
1706;42.1599;8.6645;REF;REF;3;21.61;25.48;
1707;42.1541;8.7607;REF;REF;3;21.87;25.84;
1708;42.1482;8.8569;REF;REF;3;21.05;24.66;
1709;42.1422;8.953;REF;REF;3;20.08;23.35;
1710;42.1361;9.0491;REF;REF;3;16.67;19.44;
1711;42.1299;9.1452;REF;REF;3;16.74;19.53;
1712;42.1237;9.2413;REF;REF;3;19.07;22.83;
1713;42.1173;9.3374;REF;REF;3;22.37;26.25;
1714;42.1109;9.4334;REF;REF;3;23.44;27.09;
1715;42.1044;9.5295;REF;REF;3;23.64;27.23;
1779;42.4202;1.9004;REF;REF;3;17.53;22.1;
1780;42.4206;1.9973;REF;REF;3;15.79;19.8;
1781;42.4208;2.0942;REF;REF;3;11.03;13.46;
1782;42.421;2.1912;REF;REF;3;9.41;11.31;
1783;42.4211;2.2881;REF;REF;3;10.77;12.92;
1784;42.4211;2.3851;REF;REF;3;13.57;16.05;
1785;42.421;2.482;REF;REF;3;17.28;20.65;
1786;42.4209;2.5789;REF;REF;3;19.58;23.32;
1787;42.4206;2.6759;REF;REF;3;18.79;22.44;
1788;42.4202;2.7728;REF;REF;3;19.87;23.65;
1789;42.4198;2.8697;REF;REF;3;21.8;25.72;
1791;42.4186;3.0636;REF;REF;3;21.69;24.4;
1792;42.4179;3.1605;REF;REF;3;22.65;25.11;
1848;42.2372;8.576;REF;REF;3;22.28;26.24;
1849;42.2315;8.6723;REF;REF;3;20.88;24.45;
1850;42.2256;8.7686;REF;REF;3;20.54;23.9;
1851;42.2197;8.8649;REF;REF;3;19.02;21.81;
1852;42.2137;8.9611;REF;REF;3;15.61;18.08;
1853;42.2076;9.0574;REF;REF;3;13.82;15.91;
1854;42.2015;9.1536;REF;REF;3;18.27;21.65;
1855;42.1952;9.2498;REF;REF;3;21.01;25.31;
1856;42.1889;9.346;REF;REF;3;22.21;26.01;
1857;42.1824;9.4421;REF;REF;3;22.97;26.47;
1858;42.1759;9.5383;REF;REF;3;23.43;26.66;
1918;42.4897;1.5116;REF;REF;3;14.35;18.49;
1919;42.4905;1.6087;REF;REF;3;10;12.48;
1920;42.4911;1.7057;REF;REF;3;9.08;11.36;
1921;42.4916;1.8028;REF;REF;3;10.8;13.29;
1922;42.4921;1.8998;REF;REF;3;13.27;16.38;
1923;42.4924;1.9969;REF;REF;3;14.57;18.18;
1924;42.4927;2.0939;REF;REF;3;13.7;16.98;
1925;42.4929;2.191;REF;REF;3;13.35;16.13;
1926;42.4929;2.2881;REF;REF;3;13.25;16;
1927;42.4929;2.3851;REF;REF;3;13.81;16.73;
1928;42.4929;2.4822;REF;REF;3;11.89;14.05;
1929;42.4927;2.5792;REF;REF;3;18.03;21.55;
1930;42.4924;2.6763;REF;REF;3;21.33;25.27;
1931;42.4921;2.7733;REF;REF;3;22.1;26.03;
1932;42.4916;2.8704;REF;REF;3;21.42;25.24;
1933;42.4911;2.9674;REF;REF;3;20.02;22.72;
1934;42.4905;3.0645;REF;REF;3;21.63;24.33;
1935;42.4898;3.1615;REF;REF;3;22.92;25.37;
1991;42.3088;8.5836;REF;REF;3;22.42;26.44;
1992;42.303;8.6801;REF;REF;3;21.98;25.9;
1993;42.2972;8.7765;REF;REF;3;18.56;22.07;
1994;42.2913;8.8729;REF;REF;3;15.69;18.17;
1995;42.2853;8.9693;REF;REF;3;15.62;18.08;
1996;42.2792;9.0656;REF;REF;3;16.17;18.77;
1997;42.273;9.162;REF;REF;3;19.74;23.19;
1998;42.2667;9.2583;REF;REF;3;21.24;25.55;
1999;42.2604;9.3546;REF;REF;3;20.51;24.4;
2000;42.2539;9.4509;REF;REF;3;21.69;25.75;
2001;42.2474;9.5471;REF;REF;3;23.42;26.65;
2061;42.5616;1.5106;REF;REF;3;13.46;17.13;
2062;42.5623;1.6078;REF;REF;3;11.72;14.67;
2063;42.5629;1.7049;REF;REF;3;10.18;12.71;
2064;42.5634;1.8021;REF;REF;3;11.35;14;
2065;42.5639;1.8993;REF;REF;3;9.79;12.02;
2066;42.5642;1.9965;REF;REF;3;11.01;13.56;
2067;42.5645;2.0936;REF;REF;3;13.16;16.42;
2068;42.5647;2.1908;REF;REF;3;14.37;17.48;
2069;42.5648;2.288;REF;REF;3;17.65;21.45;
2070;42.5648;2.3852;REF;REF;3;19.13;23.19;
2071;42.5647;2.4823;REF;REF;3;17.15;20.88;
2072;42.5645;2.5795;REF;REF;3;18.88;22.27;
2073;42.5642;2.6767;REF;REF;3;20.92;24.65;
2074;42.5639;2.7739;REF;REF;3;22.45;26.38;
2075;42.5634;2.8711;REF;REF;3;23.09;26.76;
2076;42.5629;2.9682;REF;REF;3;23.35;27.09;
2077;42.5623;3.0654;REF;REF;3;22.98;25.43;
2134;42.3804;8.5913;REF;REF;3;22.67;26.05;
2135;42.3746;8.6879;REF;REF;3;21.33;24.6;
2136;42.3688;8.7844;REF;REF;3;20.36;24.87;
2137;42.3629;8.8809;REF;REF;3;15.62;18.08;
2138;42.3568;8.9774;REF;REF;3;15.47;17.9;
2139;42.3507;9.0739;REF;REF;3;17.48;20.52;
2140;42.3446;9.1704;REF;REF;3;20.55;24.57;
2141;42.3383;9.2668;REF;REF;3;19.11;22.17;
2142;42.3319;9.3632;REF;REF;3;18.52;21.35;
2143;42.3254;9.4596;REF;REF;3;20.96;24.73;
2144;42.3189;9.556;REF;REF;3;23.44;26.68;
2203;42.6326;1.4123;REF;REF;3;9.4;11.59;
2204;42.6334;1.5096;REF;REF;3;10.14;12.64;
2205;42.6341;1.6069;REF;REF;3;9.61;11.84;
2206;42.6347;1.7042;REF;REF;3;10.11;12.44;
2207;42.6353;1.8014;REF;REF;3;12.05;14.95;
2208;42.6357;1.8987;REF;REF;3;10.58;13.02;
2209;42.6361;1.996;REF;REF;3;10.47;12.88;
2210;42.6363;2.0933;REF;REF;3;13.6;17.03;
2211;42.6365;2.1906;REF;REF;3;11.28;13.63;
2212;42.6366;2.2879;REF;REF;3;15.65;19.05;
2213;42.6366;2.3852;REF;REF;3;19.78;24;
2214;42.6365;2.4825;REF;REF;3;21.06;24.81;
2215;42.6363;2.5798;REF;REF;3;21.31;25.12;
2216;42.6361;2.6771;REF;REF;3;21.9;25.82;
2217;42.6357;2.7744;REF;REF;3;22.9;26.54;
2218;42.6353;2.8717;REF;REF;3;23.25;26.96;
2219;42.6347;2.969;REF;REF;3;23.51;27.29;
2220;42.6341;3.0663;REF;REF;3;23.57;27.36;
2278;42.4462;8.6957;REF;REF;3;22.42;25.81;
2279;42.4404;8.7924;REF;REF;3;20.05;23.07;
2280;42.4344;8.889;REF;REF;3;16.02;18.58;
2281;42.4284;8.9856;REF;REF;3;15.53;17.96;
2282;42.4223;9.0822;REF;REF;3;16.95;19.79;
2283;42.4161;9.1788;REF;REF;3;21.41;25.92;
2284;42.4098;9.2753;REF;REF;3;20.03;23.61;
2285;42.4034;9.3719;REF;REF;3;20.53;24.44;
2286;42.397;9.4684;REF;REF;3;21.43;25.37;
2331;42.6817;-0.0495;REF;REF;3;10.13;12.64;
2332;42.6839;0.0479;REF;REF;3;9.79;12.26;
2333;42.6859;0.1452;REF;REF;3;11.21;13.93;
2334;42.6879;0.2426;REF;REF;3;11.14;13.85;
2335;42.6897;0.3399;REF;REF;3;10.21;12.73;
2336;42.6915;0.4373;REF;REF;3;8.9;11.25;
2337;42.6932;0.5346;REF;REF;3;9.35;11.79;
2338;42.6948;0.632;REF;REF;3;10.99;13.77;
2343;42.7015;1.1189;REF;REF;3;11.73;14.67;
2344;42.7026;1.2163;REF;REF;3;10.49;13.03;
2345;42.7036;1.3137;REF;REF;3;10.29;12.8;
2346;42.7044;1.4111;REF;REF;3;11.34;13.99;
2347;42.7052;1.5086;REF;REF;3;11.97;14.85;
2348;42.706;1.606;REF;REF;3;12.15;15.09;
2349;42.7066;1.7034;REF;REF;3;13.3;16.69;
2350;42.7071;1.8008;REF;REF;3;15.59;19.69;
2351;42.7076;1.8982;REF;REF;3;15.03;19.01;
2352;42.7079;1.9956;REF;REF;3;12.39;15.43;
2353;42.7082;2.093;REF;REF;3;15.34;19.02;
2354;42.7084;2.1905;REF;REF;3;14.18;17.43;
2355;42.7085;2.2879;REF;REF;3;15.17;18.55;
2356;42.7085;2.3853;REF;REF;3;17.5;21.02;
2357;42.7084;2.4827;REF;REF;3;19.5;23.53;
2358;42.7082;2.5801;REF;REF;3;21.06;25.28;
2359;42.7079;2.6775;REF;REF;3;22.31;26.64;
2360;42.7076;2.775;REF;REF;3;22.95;26.6;
2361;42.7071;2.8724;REF;REF;3;23.3;27.02;
2362;42.7066;2.9698;REF;REF;3;23.47;27.23;
2363;42.706;3.0672;REF;REF;3;23.56;27.36;
2421;42.5178;8.7036;REF;REF;3;22.41;25.8;
2422;42.512;8.8003;REF;REF;3;22.43;25.82;
2423;42.506;8.8971;REF;REF;3;18.83;21.35;
2424;42.5;8.9938;REF;REF;3;17.58;20.65;
2425;42.4939;9.0905;REF;REF;3;19.92;24.15;
2426;42.4877;9.1872;REF;REF;3;21.58;26.2;
2427;42.4814;9.2839;REF;REF;3;21.11;25.48;
2428;42.475;9.3805;REF;REF;3;20.86;24.6;
2429;42.4685;9.4772;REF;REF;3;22.71;26.39;
2430;42.4619;9.5738;REF;REF;3;23.5;26.7;
2473;42.7513;-0.1499;REF;REF;3;9.59;12.04;
2474;42.7535;-0.0524;REF;REF;3;11.1;13.8;
2475;42.7557;0.045;REF;REF;3;11.97;14.89;
2476;42.7577;0.1425;REF;REF;3;10.28;12.81;
2477;42.7597;0.24;REF;REF;3;11.65;14.48;
2478;42.7616;0.3374;REF;REF;3;11.86;14.75;
2479;42.7634;0.4349;REF;REF;3;12.29;15.29;
2480;42.765;0.5324;REF;REF;3;13.7;17.5;
2481;42.7667;0.6299;REF;REF;3;15.27;19.61;
2484;42.7709;0.9224;REF;REF;3;10.02;12.46;
2485;42.7722;1.0199;REF;REF;3;10.84;13.5;
2486;42.7733;1.1174;REF;REF;3;12.26;15.41;
2487;42.7744;1.2149;REF;REF;3;15.19;19.51;
2488;42.7754;1.3125;REF;REF;3;15.16;19.47;
2489;42.7763;1.41;REF;REF;3;13.35;17.01;
2490;42.7771;1.5075;REF;REF;3;16.12;20.37;
2491;42.7778;1.6051;REF;REF;3;16.86;21.18;
2492;42.7784;1.7026;REF;REF;3;17.56;21.87;
2493;42.779;1.8001;REF;REF;3;15.73;19.87;
2494;42.7794;1.8977;REF;REF;3;14.54;18.44;
2495;42.7798;1.9952;REF;REF;3;14.76;18.06;
2496;42.78;2.0927;REF;REF;3;16.58;20.15;
2497;42.7802;2.1903;REF;REF;3;17.25;20.92;
2498;42.7803;2.2878;REF;REF;3;17.41;21.1;
2499;42.7803;2.3854;REF;REF;3;19.01;22.88;
2500;42.7802;2.4829;REF;REF;3;20.89;25.09;
2501;42.78;2.5804;REF;REF;3;21.77;26.1;
2502;42.7798;2.678;REF;REF;3;22.55;26.89;
2503;42.7794;2.7755;REF;REF;3;22.55;26.11;
2504;42.779;2.873;REF;REF;3;23.35;27.09;
2505;42.7784;2.9706;REF;REF;3;23.53;27.32;
2506;42.7778;3.0681;REF;REF;3;23.27;27.45;
2564;42.5894;8.7114;REF;REF;3;23.27;26.69;
2565;42.5835;8.8083;REF;REF;3;22.99;26.39;
2566;42.5776;8.9052;REF;REF;3;21.97;25.38;
2567;42.5716;9.002;REF;REF;3;20.62;23.76;
2568;42.5654;9.0989;REF;REF;3;20.68;23.82;
2569;42.5592;9.1957;REF;REF;3;19.07;21.69;
2570;42.5529;9.2925;REF;REF;3;19.56;22.11;
2571;42.5465;9.3892;REF;REF;3;21.21;25.07;
2572;42.54;9.486;REF;REF;3;23.43;26.66;
2611;42.8106;-0.6407;REF;REF;3;11.62;14.27;
2612;42.8133;-0.5431;REF;REF;3;12.88;16.05;
2613;42.8159;-0.4456;REF;REF;3;11.52;14.29;
2614;42.8184;-0.3481;REF;REF;3;11.08;13.72;
2615;42.8208;-0.2505;REF;REF;3;9.08;11.45;
2616;42.8231;-0.1529;REF;REF;3;10.3;12.85;
2617;42.8254;-0.0554;REF;REF;3;10.92;13.58;
2618;42.8275;0.0422;REF;REF;3;12.08;15.03;
2619;42.8296;0.1398;REF;REF;3;9.14;11.52;
2620;42.8315;0.2374;REF;REF;3;11.5;14.28;
2621;42.8334;0.335;REF;REF;3;15.64;19.91;
2622;42.8352;0.4326;REF;REF;3;14.24;18.01;
2623;42.8369;0.5302;REF;REF;3;14.37;18.46;
2624;42.8385;0.6278;REF;REF;3;15.55;19.96;
2625;42.84;0.7254;REF;REF;3;16.19;20.78;
2626;42.8414;0.823;REF;REF;3;13.25;16.85;
2627;42.8428;0.9206;REF;REF;3;13.84;17.77;
2628;42.844;1.0183;REF;REF;3;15.25;19.6;
2629;42.8452;1.1159;REF;REF;3;14.43;18.59;
2630;42.8463;1.2136;REF;REF;3;17.57;22.22;
2631;42.8472;1.3112;REF;REF;3;16.65;21.22;
2632;42.8481;1.4088;REF;REF;3;15.01;19.28;
2633;42.8489;1.5065;REF;REF;3;16.13;20.39;
2634;42.8497;1.6041;REF;REF;3;18.78;23.17;
2635;42.8503;1.7018;REF;REF;3;15.43;19.49;
2636;42.8508;1.7995;REF;REF;3;14.97;18.95;
2637;42.8513;1.8971;REF;REF;3;17.26;21.57;
2638;42.8516;1.9948;REF;REF;3;17.14;20.8;
2639;42.8519;2.0924;REF;REF;3;17.5;21.21;
2640;42.8521;2.1901;REF;REF;3;19.4;23.54;
2641;42.8522;2.2877;REF;REF;3;18.52;22.44;
2642;42.8522;2.3854;REF;REF;3;18.84;22.61;
2643;42.8521;2.4831;REF;REF;3;19.83;23.76;
2644;42.8519;2.5807;REF;REF;3;20.54;24.56;
2645;42.8516;2.6784;REF;REF;3;21.4;25.57;
2646;42.8513;2.776;REF;REF;3;21.99;25.49;
2647;42.8508;2.8737;REF;REF;3;22.61;26.19;
2648;42.8503;2.9714;REF;REF;3;23.18;26.87;
2649;42.8497;3.069;REF;REF;3;23.56;27.36;
2709;42.6492;8.9133;REF;REF;3;23.19;26.61;
2710;42.6431;9.0103;REF;REF;3;23.01;26.41;
2711;42.637;9.1072;REF;REF;3;22.45;25.84;
2712;42.6308;9.2042;REF;REF;3;20.59;23.51;
2713;42.6245;9.3011;REF;REF;3;22.61;25.9;
2714;42.6181;9.398;REF;REF;3;21.86;25.22;
2715;42.6116;9.4948;REF;REF;3;23.49;26.68;
2753;42.8797;-0.742;REF;REF;3;12.4;15.26;
